year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,logystar2,logxstar2,logcstar2,TobinQ
1960,14.234645,29.143753,15.339233,2.1016667,17.418333,1.6463132,1.7728758,2.5412197,-1.3218049,28.767187,15.186992,.64789659,2.9558802,-99.989998,2.0473819,-99.989998,4.3403873,7.4561009,-99.989998,-99.989998,-99.989998,12.132978,-99.989998,-99.989998,-99.989998,-99.989998,.76834393,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.108616,-99.989998,-99.989998,-99.989998,-99
1961,14.418177,29.418518,14.870153,1.8558333,20.455833,1.2925202,-.061203349,2.5290966,-1.3732699,33.813931,16.569681,1.8919885,1.232375,-99.989998,2.0403771,-99.989998,4.3413825,7.2617908,-99.989998,-99.989998,-99.989998,12.562344,-99.989998,-99.989998,-99.989998,-99.989998,2.5902998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.354179,-99.989998,-99.989998,-99.989998,-99
1962,15.298585,30.143707,15.052161,1.7258333,18.823334,1.1574984,1.4457725,5.9478636,-1.1627555,29.106068,15.826557,3.3144598,1.3804281,-99.989998,1.9703592,-99.989998,4.3533068,7.6224895,-99.989998,-99.989998,-99.989998,13.572752,-99.989998,-99.989998,-99.989998,-99.989998,4.5020909,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.513981,-99.989998,-99.989998,-99.989998,-99
1963,16.091473,31.00164,15.32549,2.0816667,20.259167,1.8661885,1.5734731,4.26195,-1.5616009,30.914055,16.480158,2.8587456,1.9410393,-99.989998,1.9265882,-99.989998,4.40482,7.9221625,-99.989998,-99.989998,-99.989998,14.009806,-99.989998,-99.989998,-99.989998,-99.989998,2.688477,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.351719,-99.989998,-99.989998,-99.989998,-99
1964,16.331043,31.335564,15.675675,2.3458333,22.5525,1.6756765,2.2500677,5.6031036,-.90752971,32.665569,17.524097,2.7615168,1.9802628,-99.989998,1.9187728,-99.989998,4.3627229,8.1544085,-99.989998,-99.989998,-99.989998,13.98521,-99.989998,-99.989998,-99.989998,-99.989998,3.3530359,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.67057,-99.989998,-99.989998,-99.989998,-99
1965,17.10832,32.322121,16.219856,2.7025001,23.262501,1.6163158,2.5204649,6.2960534,-.2038351,32.722546,17.847294,3.1983047,1.3902905,-99.989998,1.8892632,-99.989998,4.3924699,8.5638905,-99.989998,-99.989998,-99.989998,14.40582,-99.989998,-99.989998,-99.989998,-99.989998,3.7755885,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.176197,-99.989998,-99.989998,-99.989998,-99
1966,17.03146,31.860176,16.056061,2.7866666,21.301666,1.2133638,2.5116813,6.3874459,-.8960579,29.508068,16.95471,2.7420595,2.3423514,-99.989998,1.8706663,-99.989998,4.4164038,8.5304947,-99.989998,-99.989998,-99.989998,14.244793,-99.989998,-99.989998,-99.989998,-99.989998,3.8757646,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.910297,-99.989998,-99.989998,-99.989998,-99
1967,16.236937,30.887939,15.44186,1.41,21.605,1.4079574,2.0344257,2.7049365,.034620129,32.474876,17.092789,.41912046,3.4208171,-99.989998,1.9023256,-99.989998,4.4804401,8.0684595,-99.989998,-99.989998,-99.989998,14.826937,-99.989998,-99.989998,-99.989998,-99.989998,.67051077,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.267941,-99.989998,-99.989998,-99.989998,-99
1968,15.963129,30.616219,15.722335,1.0575,21.485001,1.6448714,2.0456879,4.7978773,-.021611731,34.150093,17.038164,2.5277808,2.4302292,-99.989998,1.9179335,-99.989998,4.4673538,8.1421127,-99.989998,-99.989998,-99.989998,14.905629,-99.989998,-99.989998,-99.989998,-99.989998,2.7521894,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.497944,-99.989998,-99.989998,-99.989998,-99
1969,15.027715,28.978859,16.155661,1.3141667,19.4275,1.7323986,2.5515959,3.0779879,.15574364,32.335487,16.101578,-.39076248,-1.1870172,-99.989998,1.9283609,-99.989998,4.5558782,8.3320589,-99.989998,-99.989998,-99.989998,13.713548,-99.989998,-99.989998,-99.989998,-99.989998,.52639198,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.970898,-99.989998,-99.989998,-99.989998,-99
1970,13.845029,27.352089,15.65266,.6558333,15.1825,2.0273077,1.0142092,.18598263,-.70029145,27.761936,14.169226,-.71253252,2.6641932,-99.989998,1.9755892,-99.989998,4.6312017,7.8475761,-99.989998,-99.989998,-99.989998,13.189196,-99.989998,-99.989998,-99.989998,-99.989998,-.82822651,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.386562,-99.989998,-99.989998,-99.989998,-99
1971,14.170668,28.61261,16.190231,.17166667,16.865833,2.2580433,.86791569,3.239037,.60617232,33.334805,14.93549,2.5765207,3.0141158,-99.989998,2.0191433,-99.989998,4.5746355,7.9333363,-99.989998,-99.989998,-99.989998,13.999001,-99.989998,-99.989998,-99.989998,-99.989998,2.3711214,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.594334,-99.989998,-99.989998,-99.989998,-99
1972,14.231391,28.85331,17.121414,1.8933333,17.768333,2.7497401,3.4441109,5.1261029,.43237847,37.041138,15.346313,3.0432208,1.3902905,-99.989998,2.0274413,-99.989998,4.5309067,8.3792849,-99.989998,-99.989998,-99.989998,12.338058,-99.989998,-99.989998,-99.989998,-99.989998,1.6819921,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.988674,-99.989998,-99.989998,-99.989998,-99
1973,13.87496,28.680496,17.609093,3.8199999,16.147499,2.0408931,3.4888732,5.4916468,-.50060213,32.448776,14.6085,2.6739297,1.252128,-99.989998,2.0670688,-99.989998,4.4630737,8.4679613,-99.989998,-99.989998,-99.989998,10.05496,-99.989998,-99.989998,-99.989998,-99.989998,2.0027735,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.819862,-99.989998,-99.989998,-99.989998,-99
1974,12.385594,27.796249,16.85866,-.026666667,10.925834,2.0349391,2.0381386,-.54127091,-1.0730288,22.095922,12.231564,-3.8013442,-1.136433,-99.989998,2.2442403,-99.989998,4.4149027,7.4744797,-99.989998,-99.989998,-99.989998,12.412261,-99.989998,-99.989998,-99.989998,-99.989998,-2.5794096,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.821712,-99.989998,-99.989998,-99.989998,-99
