year;ProfitK;ProfitY;IY;RF;PE;growthpop;growthemp;growthGDP;priceinvt;PD;PEop;growthTFP;growthTFPADJ;ERP;KY;ystar;Drate;ik;LS;CS;PS;SP;ERPalt;SPMU;SPRISK;Spread2;gYN;ER;lev_net_mkt;kstar;vstar;cstar;xstar;logystar;logxstar;logcstar;EmpPop;logystar2;logxstar2;logcstar2;TobinQ
1960;14.234645;29.143753;0;2.1016667;0;1.6463132;0;0;-1.3218049;28.767187;0;0.64789659;0;0;0;0;0;7.4561009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.108616;0;0;0;0
1961;14.418177;29.418518;0;1.8558333;0;1.2925202;0;0;-1.3732699;33.813931;0;1.8919885;0;0;0;0;0;7.2617908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.354179;0;0;0;0
1962;15.298585;30.143707;0;1.7258333;0;1.1574984;0;0;-1.1627555;29.106068;0;3.3144598;0;0;0;0;0;7.6224895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.513981;0;0;0;0
1963;16.091473;31.00164;0;2.0816667;0;1.8661885;0;0;-1.5616009;30.914055;0;2.8587456;0;0;0;0;0;7.9221625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.351719;0;0;0;0
1964;16.331043;31.335564;0;2.3458333;0;1.6756765;0;0;-0.90752971;32.665569;0;2.7615168;0;0;0;0;0;8.1544085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.67057;0;0;0;0
1965;17.10832;32.322121;0;2.7025001;0;1.6163158;0;0;-0.2038351;32.722546;0;3.1983047;0;0;0;0;0;8.5638905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.176197;0;0;0;0
1966;17.03146;31.860176;0;2.7866666;0;1.2133638;0;0;-0.8960579;29.508068;0;2.7420595;0;0;0;0;0;8.5304947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.910297;0;0;0;0
1967;16.236937;30.887939;0;1.41;0;1.4079574;0;0;0.034620129;32.474876;0;0.41912046;0;0;0;0;0;8.0684595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.267941;0;0;0;0
1968;15.963129;30.616219;0;1.0575;0;1.6448714;0;0;-0.021611731;34.150093;0;2.5277808;0;0;0;0;0;8.1421127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.497944;0;0;0;0
1969;15.027715;28.978859;0;1.3141667;0;1.7323986;0;0;0.15574364;32.335487;0;-0.39076248;0;0;0;0;0;8.3320589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.970898;0;0;0;0
1970;13.845029;27.352089;0;0.6558333;0;2.0273077;0;0;-0.70029145;27.761936;0;-0.71253252;0;0;0;0;0;7.8475761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.386562;0;0;0;0
1971;14.170668;28.61261;0;0.17166667;0;2.2580433;0;0;0.60617232;33.334805;0;2.5765207;0;0;0;0;0;7.9333363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.594334;0;0;0;0
1972;14.231391;28.85331;0;1.8933333;0;2.7497401;0;0;0.43237847;37.041138;0;3.0432208;0;0;0;0;0;8.3792849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.988674;0;0;0;0
1973;13.87496;28.680496;0;3.8199999;0;2.0408931;0;0;-0.50060213;32.448776;0;2.6739297;0;0;0;0;0;8.4679613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.819862;0;0;0;0
