year;ProfitK;ProfitY;IY;RF;PE;growthpop;growthemp;growthGDP;priceinvt;PD;PEop;growthTFP;growthTFPADJ;ERP;KY;ystar;Drate;ik;LS;CS;PS;SP;ERPalt;SPMU;SPRISK;Spread2;gYN;ER;lev_net_mkt;kstar;vstar;cstar;xstar;logystar;logxstar;logcstar;EmpPop;logystar2;logxstar2;logcstar2;TobinQ
1960;14.97533333;44.926;0;;0;;0;0;6.148179291;;0;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.75273519;0;0;0;0
1961;15.01888811;44.926;0;;0;0.828671262;0;0;1.809379064;;0;0.871797436;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.86649497;0;0;0;0
1962;14.84960666;44.926;0;;0;0.918438843;0;0;-0.353905158;;0;-0.326646176;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.65848533;0;0;0;0
1963;15.22038148;44.926;0;;0;0.624859266;0;0;0.945305595;;0;3.777491632;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.48438228;0;0;0;0
1964;15.59876393;44.926;0;;0;0.682517483;0;0;-2.746711247;19.30501931;0;3.5333086;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.85275324;0;0;0;0
1965;15.46506024;44.926;0;;0;0.664925636;0;0;-1.606081917;19.12045889;0;0.295409579;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.00551978;0;0;0;0
1966;15.26745055;44.926;0;;0;0.539098436;0;0;0.669660361;17.27115717;0;0.014359441;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.90209176;0;0;0;0
1967;15.213681;44.926;0;;0;0.578299142;0;0;-0.612531737;22.83105023;0;2.353071881;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.02017868;0;0;0;0
1968;15.48478268;44.926;0;;0;0.463982241;0;0;-0.046261178;31.44654088;0;4.247601999;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.59093708;0;0;0;0
1969;15.2695262;44.926;0;;0;0.44735031;0;0;-2.17083008;25.97402597;0;0.45477263;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.38174573;0;0;0;0
1970;15.13883273;44.926;0;;0;0.308324769;0;0;-0.814162079;22.77904328;0;1.454456735;0;0;0;0;0;7.906849917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.04608858;0;0;0;0
1971;15.1220169;44.926;0;;0;0.532067875;0;0;3.780928055;31.15264798;0;2.5170222;0;0;0;0;0;7.921997716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.0515663;0;0;0;0
1972;15.24103538;44.926;0;;0;0.302174224;0;0;7.168109702;31.74603175;0;2.914869021;0;0;0;0;0;7.838157098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.23960283;0;0;0;0
1973;15.69247965;44.926;0;;0;0.224610942;0;0;7.532575275;20.96436059;0;3.888393961;0;0;0;0;0;8.621533521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.11020401;0;0;0;0
1974;14.89292581;44.926;0;;0;0.02312221;0;0;6.476820629;8.53970965;0;-3.905471388;0;0;0;0;0;8.683749804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.24845295;0;0;0;0
1975;14.38506612;44.926;0;;0;-0.017782204;0;0;-0.090199952;18.28153565;0;-2.241240375;0;0;0;0;0;8.157358641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.98669655;0;0;0;0
1976;14.5504599;44.926;0;-2.9906;0;-0.017785366;0;0;0.919138886;15.57632399;0;2.691188076;0;0;0;0;0;8.141596651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.66436602;0;0;0;0
1977;14.67067237;44.926;0;-9.5069;0;-0.046250178;0;0;-1.641497023;18.93939394;0;1.701720301;0;0;0;0;0;7.790904459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.76828617;0;0;0;0
1978;15.0148725;44.926;0;3.2635;0;-0.021356113;0;0;1.025991553;17.27115717;0;2.758634802;0;0;0;0;0;7.842723273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.19324291;0;0;0;0
1979;15.25138337;44.926;0;2.4421;0;0.110363487;0;0;1.172978376;14.55604076;0;1.924890442;0;0;0;0;0;8.012044403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.78733997;0;0;0;0
1980;14.69514589;44.926;0;-4.9839;0;0.16002845;0;0;1.675059355;16.39344262;0;-2.165546075;0;0;0;0;0;7.447614726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.2673531;0;0;0;0
1981;14.40998172;44.926;0;2.7701;0;0.049707083;0;0;-2.660848184;16.97792869;0;0.638169193;0;0;0;0;0;6.618036923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.66418255;0;0;0;0
1982;14.50582803;44.926;0;1.1204;0;-0.118882856;0;0;-6.601158919;19.01140684;0;2.539466113;0;0;0;0;0;6.662911567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.86168304;0;0;0;0
1983;14.88848384;44.926;0;4.2391;0;0.044412073;0;0;-1.345296917;21.64502165;0;3.883979604;0;0;0;0;0;6.784110149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.74010938;0;0;0;0
1984;14.9409691;44.926;0;4.1225;0;0.16513957;0;0;-1.369122091;22.62443439;0;0.303103686;0;0;0;0;0;7.211528455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.70885852;0;0;0;0
1985;15.25604455;44.926;0;5.0662;0;0.25705118;0;0;-2.217829089;23.04147465;0;2.678964655;0;0;0;0;0;7.368326677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.07712982;0;0;0;0
1986;15.42841444;44.926;0;7.2646;0;0.229868798;0;0;-2.276481048;25.12562814;0;2.231047594;0;0;0;0;0;7.391212666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.124409;0;0;0;0
1987;15.84356045;44.926;0;4.009;0;0.211699951;0;0;-1.437754762;23.09468822;0;2.636168331;0;0;0;0;0;7.886632852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.09344412;0;0;0;0
1988;16.23871108;44.952;0;7.6083;0;0.197169213;0;0;-0.895665591;21.32196162;0;1.848157998;0;0;0;0;0;8.777228892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.71888397;0;0;0;0
1989;15.86700036;44.38;0;6.679;0;0.282873006;0;0;2.946576339;23.86634845;0;-0.327260418;0;0;0;0;0;9.089180787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.99251888;0;0;0;0
1990;14.8052356;42.417;0;3.5581;0;0.282075092;0;0;0.051262666;18.31501832;0;-0.744484592;0;0;0;0;0;8.203367634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.08494357;0;0;0;0
1991;14.10297938;41.797;0;4.2879;0;0.35116531;0;0;-12.61152643;20.28397566;0;-0.251000519;0;0;0;0;0;6.977042865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.43505284;0;0;0;0
